Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
EPL_2008,04/10/08,40,24,0.0,1.0,2.0,21.0,6.0,9.0,2.0,8.0,2.0,3.0,0.0,0.0,0.0
EPL_2008,05/10/08,11,1,2.0,0.0,0.0,27.0,8.0,15.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0
EPL_2008,05/10/08,13,25,2.0,2.0,1.0,13.0,11.0,5.0,9.0,3.0,5.0,1.0,3.0,0.0,0.0
EPL_2008,05/10/08,22,20,2.0,3.0,2.0,7.0,14.0,5.0,7.0,1.0,7.0,1.0,1.0,1.0,0.0
EPL_2008,05/10/08,28,33,2.0,1.0,0.0,17.0,8.0,11.0,5.0,2.0,5.0,0.0,3.0,0.0,0.0
EPL_2008,05/10/08,36,16,0.0,1.0,2.0,27.0,10.0,16.0,6.0,12.0,0.0,4.0,2.0,0.0,0.0
EPL_2008,05/10/08,39,5,1.0,3.0,2.0,13.0,12.0,5.0,6.0,7.0,7.0,4.0,3.0,0.0,0.0
EPL_2008,18/10/08,0,13,3.0,1.0,0.0,22.0,7.0,14.0,3.0,7.0,4.0,2.0,4.0,0.0,0.0
EPL_2008,18/10/08,1,28,0.0,0.0,1.0,10.0,8.0,3.0,3.0,11.0,2.0,1.0,3.0,0.0,1.0
EPL_2008,18/10/08,5,3,0.0,0.0,1.0,10.0,8.0,4.0,1.0,11.0,8.0,1.0,3.0,0.0,0.0
EPL_2008,18/10/08,14,34,0.0,0.0,1.0,13.0,14.0,9.0,7.0,8.0,5.0,1.0,1.0,0.0,0.0
EPL_2008,18/10/08,20,40,3.0,2.0,0.0,17.0,7.0,7.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0
EPL_2008,18/10/08,23,38,4.0,0.0,0.0,18.0,6.0,14.0,2.0,15.0,1.0,0.0,1.0,0.0,0.0
EPL_2008,18/10/08,24,11,0.0,5.0,2.0,7.0,21.0,4.0,14.0,5.0,7.0,2.0,0.0,0.0,0.0
EPL_2008,19/10/08,16,39,1.0,0.0,0.0,12.0,14.0,4.0,5.0,3.0,5.0,2.0,1.0,0.0,0.0
EPL_2008,19/10/08,33,36,2.0,1.0,0.0,7.0,11.0,3.0,6.0,6.0,1.0,1.0,2.0,0.0,2.0
EPL_2008,20/10/08,25,22,2.0,2.0,1.0,6.0,20.0,2.0,8.0,5.0,10.0,0.0,2.0,1.0,0.0
EPL_2008,25/10/08,3,24,1.0,1.0,1.0,13.0,5.0,5.0,2.0,9.0,2.0,3.0,1.0,0.0,0.0
EPL_2008,25/10/08,13,23,1.0,1.0,1.0,13.0,18.0,9.0,14.0,5.0,9.0,3.0,3.0,0.0,0.0
EPL_2008,25/10/08,34,25,2.0,1.0,0.0,14.0,10.0,3.0,5.0,2.0,4.0,1.0,2.0,0.0,0.0
EPL_2008,25/10/08,38,16,0.0,3.0,2.0,24.0,16.0,16.0,10.0,14.0,5.0,1.0,2.0,0.0,0.0
EPL_2008,26/10/08,11,20,0.0,1.0,2.0,14.0,8.0,5.0,3.0,4.0,2.0,3.0,3.0,0.0,0.0
EPL_2008,26/10/08,22,33,3.0,0.0,0.0,18.0,9.0,12.0,6.0,6.0,8.0,1.0,0.0,0.0,0.0
EPL_2008,26/10/08,28,14,1.0,1.0,1.0,21.0,9.0,12.0,5.0,8.0,6.0,0.0,0.0,0.0,0.0
EPL_2008,26/10/08,36,5,2.0,0.0,0.0,19.0,10.0,9.0,3.0,3.0,4.0,0.0,3.0,0.0,1.0
EPL_2008,26/10/08,39,0,0.0,2.0,2.0,7.0,20.0,3.0,10.0,4.0,9.0,2.0,3.0,1.0,0.0
EPL_2008,26/10/08,40,1,0.0,4.0,2.0,17.0,9.0,5.0,7.0,9.0,4.0,1.0,2.0,0.0,0.0
EPL_2008,28/10/08,25,38,2.0,1.0,0.0,10.0,14.0,5.0,4.0,7.0,8.0,0.0,4.0,0.0,0.0
EPL_2008,29/10/08,0,36,4.0,4.0,1.0,20.0,9.0,12.0,6.0,9.0,1.0,1.0,4.0,0.0,0.0
EPL_2008,29/10/08,1,3,3.0,2.0,0.0,8.0,11.0,4.0,5.0,4.0,5.0,0.0,1.0,0.0,0.0
EPL_2008,29/10/08,5,13,0.0,1.0,2.0,18.0,11.0,12.0,7.0,5.0,3.0,1.0,2.0,0.0,0.0
EPL_2008,29/10/08,14,40,2.0,0.0,0.0,7.0,5.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
EPL_2008,29/10/08,16,11,0.0,3.0,2.0,10.0,27.0,5.0,11.0,5.0,5.0,0.0,2.0,0.0,0.0
EPL_2008,29/10/08,20,28,1.0,0.0,0.0,21.0,4.0,10.0,1.0,7.0,1.0,0.0,3.0,0.0,0.0
EPL_2008,29/10/08,23,39,2.0,0.0,0.0,21.0,4.0,12.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0
EPL_2008,29/10/08,24,22,2.0,0.0,0.0,5.0,13.0,3.0,8.0,3.0,3.0,1.0,3.0,0.0,0.0
EPL_2008,29/10/08,33,34,1.0,0.0,0.0,9.0,9.0,6.0,4.0,4.0,4.0,2.0,1.0,0.0,0.0
EPL_2008,01/11/08,11,34,5.0,0.0,0.0,17.0,1.0,11.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
EPL_2008,01/11/08,13,14,1.0,0.0,0.0,9.0,15.0,4.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0
EPL_2008,01/11/08,23,16,4.0,3.0,0.0,20.0,11.0,11.0,7.0,9.0,1.0,2.0,2.0,0.0,0.0
EPL_2008,01/11/08,24,39,1.0,1.0,1.0,11.0,13.0,7.0,8.0,5.0,4.0,3.0,4.0,0.0,0.0
EPL_2008,01/11/08,28,40,1.0,2.0,2.0,16.0,12.0,8.0,8.0,9.0,6.0,0.0,3.0,0.0,0.0
EPL_2008,01/11/08,33,0,2.0,1.0,0.0,7.0,13.0,5.0,6.0,3.0,5.0,4.0,2.0,0.0,1.0
EPL_2008,01/11/08,36,20,2.0,1.0,0.0,8.0,14.0,4.0,6.0,4.0,4.0,1.0,2.0,0.0,0.0
EPL_2008,01/11/08,38,3,2.0,2.0,1.0,15.0,9.0,8.0,5.0,2.0,3.0,3.0,2.0,0.0,1.0
EPL_2008,02/11/08,5,22,2.0,0.0,0.0,20.0,11.0,12.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0
EPL_2008,03/11/08,25,1,2.0,0.0,0.0,11.0,6.0,7.0,1.0,2.0,6.0,4.0,3.0,0.0,0.0
EPL_2008,08/11/08,0,23,2.0,1.0,0.0,11.0,17.0,7.0,9.0,5.0,6.0,3.0,2.0,0.0,0.0
EPL_2008,08/11/08,16,5,0.0,1.0,2.0,16.0,10.0,11.0,6.0,6.0,7.0,1.0,2.0,0.0,0.0
EPL_2008,08/11/08,20,38,3.0,0.0,0.0,11.0,4.0,10.0,2.0,3.0,7.0,2.0,1.0,0.0,0.0
EPL_2008,08/11/08,34,28,1.0,2.0,2.0,9.0,10.0,6.0,5.0,8.0,3.0,2.0,1.0,0.0,0.0
EPL_2008,08/11/08,39,13,1.0,3.0,2.0,15.0,12.0,13.0,7.0,9.0,4.0,1.0,1.0,0.0,0.0
EPL_2008,08/11/08,40,33,0.0,0.0,1.0,22.0,2.0,14.0,1.0,6.0,3.0,1.0,3.0,0.0,0.0
EPL_2008,09/11/08,1,24,1.0,2.0,2.0,14.0,15.0,9.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0
EPL_2008,09/11/08,3,11,0.0,2.0,2.0,8.0,18.0,3.0,13.0,5.0,9.0,2.0,1.0,0.0,0.0
EPL_2008,09/11/08,14,25,2.0,1.0,0.0,11.0,13.0,6.0,7.0,6.0,1.0,2.0,2.0,0.0,0.0
EPL_2008,09/11/08,22,36,1.0,2.0,2.0,9.0,14.0,7.0,9.0,4.0,5.0,1.0,2.0,2.0,1.0
EPL_2008,15/11/08,0,1,0.0,2.0,2.0,11.0,9.0,8.0,6.0,8.0,5.0,2.0,4.0,0.0,0.0
EPL_2008,15/11/08,3,34,1.0,2.0,2.0,16.0,10.0,8.0,6.0,11.0,9.0,3.0,4.0,0.0,0.0
EPL_2008,15/11/08,5,20,0.0,2.0,2.0,15.0,15.0,9.0,6.0,7.0,3.0,1.0,1.0,0.0,0.0
EPL_2008,15/11/08,14,36,2.0,1.0,0.0,16.0,7.0,14.0,3.0,10.0,3.0,1.0,0.0,0.0,0.0
EPL_2008,15/11/08,23,33,5.0,0.0,0.0,21.0,3.0,15.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0
EPL_2008,15/11/08,25,40,2.0,2.0,1.0,17.0,12.0,9.0,7.0,4.0,10.0,1.0,3.0,0.0,1.0
EPL_2008,15/11/08,38,11,0.0,3.0,2.0,13.0,15.0,3.0,9.0,3.0,10.0,0.0,3.0,0.0,0.0
EPL_2008,15/11/08,39,28,0.0,0.0,1.0,11.0,11.0,5.0,7.0,8.0,7.0,0.0,1.0,0.0,0.0
EPL_2008,16/11/08,13,24,1.0,1.0,1.0,15.0,11.0,7.0,3.0,11.0,1.0,0.0,2.0,0.0,0.0
EPL_2008,16/11/08,16,22,2.0,2.0,1.0,11.0,12.0,6.0,8.0,3.0,6.0,2.0,3.0,0.0,0.0
EPL_2008,22/11/08,1,23,0.0,0.0,1.0,10.0,12.0,7.0,7.0,3.0,6.0,1.0,0.0,0.0,0.0
EPL_2008,22/11/08,11,25,0.0,0.0,1.0,25.0,2.0,14.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0
EPL_2008,22/11/08,20,14,0.0,0.0,1.0,18.0,6.0,7.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0
EPL_2008,22/11/08,22,0,3.0,0.0,0.0,12.0,11.0,8.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0
EPL_2008,22/11/08,24,5,1.0,3.0,2.0,18.0,11.0,5.0,5.0,8.0,0.0,2.0,5.0,0.0,0.0
EPL_2008,22/11/08,28,16,2.0,2.0,1.0,14.0,13.0,7.0,6.0,7.0,7.0,2.0,1.0,0.0,0.0
EPL_2008,22/11/08,33,38,1.0,0.0,0.0,9.0,8.0,7.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0
